# Generated 2026-06-21 from Claude workflow wf_9cfa6be0-e24; all rows are selected from the latest verified result when available.
# PT-BR/RU policy: fallback to English for new rows; EN/ZH/JA/ES are the explicit translation columns.
verified	surface	key	ko	placeholders	en	zh	ja	es
True	Defeat settlement screen	defeat.settlement.stat_final_score	최종 스코어		Final Score	最终比分	最終スコア	Puntuación final
True	Defeat settlement screen	defeat.settlement.stat_reached_boss	도달 보스		Boss Reached	抵达Boss	到達ボス	Boss alcanzado
True	Defeat settlement screen	defeat.settlement.section_items	아이템		Items	道具	アイテム	Objetos
True	Defeat settlement screen	defeat.settlement.label_active	액티브		Active	主动	アクティブ	Activo
True	Defeat settlement screen	defeat.settlement.label_passive	패시브		Passive	被动	パッシブ	Pasivo
True	Defeat settlement screen	defeat.settlement.section_perks	퍽		Perk	升级	パーク	Perk
True	Defeat settlement screen	defeat.settlement.perk_level_entry	%s Lv.%d	%s, %d	%s Lv.%d	%s Lv.%d	%s Lv.%d	%s Lv.%d
True	Defeat settlement screen	defeat.settlement.cleared_bosses_label	클리어한 보스		Bosses Cleared	已通关Boss	クリアしたボス	Bosses derrotados
True	Defeat settlement screen	defeat.settlement.gold_breakdown	광장의 보유 골드 %dG + 이번 도전 골드 %dG	%dG, %dG	Plaza Gold %dG + This Run's Gold %dG	广场持有金币 %dG + 本次挑战金币 %dG	広場の所持ゴールド %dG ＋ 今回の挑戦ゴールド %dG	Oro de la Plaza %dG + Oro de este intento %dG
True	Defeat settlement screen	defeat.settlement.button_main_menu	메인 메뉴로		To Main Menu	返回主菜单	メインメニューへ	Al menú principal
True	Defeat settlement screen	defeat.settlement.list_empty	없음		None	无	なし	Ninguno
True	Defeat settlement screen	defeat.settlement.list_overflow_more	+%d	%d	+%d	+%d	+%d	+%d
True	Defeat settlement screen	defeat.settlement.boss_unknown	알 수 없음		Unknown	未知	不明	Desconocido
True	Defeat settlement screen	defeat.settlement.reached_stage_label	스테이지 %d	%d	Stage %d	第%d关	ステージ%d	Fase %d
True	Defeat settlement screen	defeat.boss.dalji	달지		Dalji	达尔吉	ダルジ	Dalji
True	Defeat settlement screen	defeat.boss.alligator_general	악어장군		Alligator General	鳄鱼将军	ワニ将軍	General Caimán
True	Defeat settlement screen	defeat.boss.menhera_girl	멘헤라걸		Menhera Girl	病娇少女	メンヘラガール	Chica Menhera
True	Defeat settlement screen	defeat.boss.ponk	폰크		Ponk	彭克	ポンク	Ponk
True	Defeat settlement screen	defeat.boss.hongryun	홍련		Hongryun	红莲	紅蓮	Hongryun
True	Defeat settlement screen	defeat.boss.tetrisser	테트리서		Tetrisser	特崔瑟	テトリサー	Tetrisser
True	Defeat settlement screen	defeat.boss.stage_n_boss	스테이지 %d 보스	%d	Stage %d Boss	第%d关Boss	ステージ%dボス	Boss de la fase %d
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	perk.overlay.title	스킬 강화!		Skill Upgrade!	技能强化！	スキル強化！	¡Mejora de habilidad!
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	perk.overlay.select_hint	마우스 클릭 또는 ← → / Enter 로 선택		Click or use ← → / Enter to select	鼠标点击或用 ← → / Enter 选择	クリック または ← → / Enter で選択	Haz clic o usa ← → / Enter para elegir
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	perk.overlay.loading_choices	선택지를 불러오는 중		Loading choices	正在载入选项	選択肢を読み込み中	Cargando opciones
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	perk.overlay.extra_choices	추가 %d개	%d	+%d more	还有 %d 个	あと %d 個	+%d más
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	perk.overlay.swap_dialog_title	화기 슬롯 교체		Swap Firearm Slot	更换火器槽	火器スロット交換	Cambiar ranura de arma
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	perk.overlay.swap_new_weapon	새 화기: %s	%s	New firearm: %s	新火器：%s	新しい火器：%s	Arma nueva: %s
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	perk.overlay.swap_confirm_hint	Enter 선택 / Esc 취소		Enter to confirm / Esc to cancel	Enter 确认 / Esc 取消	Enter で決定 / Esc でキャンセル	Enter para confirmar / Esc para cancelar
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	perk.overlay.current_perks_header	◆ 현재 퍽		◆ Current Perks	◆ 当前升级	◆ 現在のパーク	◆ Perks actuales
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	perk.overlay.pending_count	선택 대기: %d	%d	Choices Waiting: %d	待选择: %d	選択待ち: %d	Opciones en espera: %d
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	perk.overlay.perk_gold	퍽 골드: %d	%d	Perk Gold: %d	升级金币: %d	パークゴールド: %d	Oro de perk: %d
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	perk.overlay.acquired_overflow	+%d	%d	+%d	+%d	+%d	+%d
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	perk.overlay.level_tag.gold	골드		Gold	金币	ゴールド	Oro
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	perk.overlay.level_tag.instant	즉시		Instant	立即	即時	Instantáneo
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	perk.overlay.level_tag.unlock	해금		Unlock	解锁	解放	Desbloqueo
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	perk.overlay.long_level.gold	  (500골드)		  (500 Gold)	  (500 金币)	  (500 ゴールド)	  (500 de oro)
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	perk.overlay.long_level.instant	  (즉시 효과)		  (Instant Effect)	  (立即生效)	  (即時効果)	  (Efecto instantáneo)
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	perk.overlay.long_level.unlock	  (액티브 해금)		  (Active Unlock)	  (解锁主动技能)	  (アクティブ解放)	  (Desbloqueo activo)
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	weapon.name.pistol	권총		Pistol	手枪	拳銃	Pistola
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	weapon.name.beretta	베레타		Beretta	Beretta	Beretta	Beretta
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	weapon.name.net_gun	그물덫총		Net Trap Gun	网陷枪	ネットトラップガン	Pistola red trampa
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	weapon.name.fire_support	화력지원		Fire Support	火力支援	火力支援	Apoyo de fuego
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	weapon.name.bowling_trap	볼링트랩		Bowling Trap	保龄球陷阱	ボウリングトラップ	Trampa de bolos
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	weapon.name.suicide_drone	자폭드론		Suicide Drone	自爆无人机	自爆ドローン	Dron suicida
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	weapon.name.bazooka	바주카포		Bazooka	火箭筒	バズーカ	Bazuca
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	weapon.name.ak47	AK-47		AK-47	AK-47	AK-47	AK-47
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	weapon.badge.rental	대여		Rental	租借	レンタル	Alquiler
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	weapon.badge.permanent	영구		Permanent	永久	永続	Permanente
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	weapon.badge.base	기본		Base	基础	基本	Base
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	stage.landing.subtitle.stage1	조선 골목		Joseon Alley	朝鲜小巷	朝鮮の路地	Callejón de Joseon
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	stage.landing.subtitle.stage2	정글 지진		Jungle Quake	丛林地震	ジャングル地震	Terremoto en la jungla
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	stage.landing.subtitle.stage3	멘헤라 인형극장		Menhera Puppet Theater	病娇玩偶剧场	メンヘラ人形劇場	Teatro de marionetas Menhera
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	stage.landing.subtitle.stage4	소림사		Shaolin Temple	少林寺	少林寺	Templo Shaolin
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	item.horn_strawberry.skill.horn_charge.name	뿔박치기		Horn Charge	顶角冲撞	角突進	Embestida de cuerno
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	item.horn_strawberry.skill.horn_charge.desc	앞으로 돌진해 보스를 기절시키고 강하게 밀쳐냅니다.		Charges forward to stun the boss and knock it back hard.	向前冲撞，使首领眩晕并将其猛烈击退。	前方に突進してボスを気絶させ、強くノックバックさせます。	Embiste hacia adelante para aturdir al jefe y empujarlo con fuerza.
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	item.horn_strawberry.skill.field.name	딸기장판		Strawberry Mat	草莓地垫	イチゴマット	Alfombra de fresa
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	item.horn_strawberry.skill.field.desc	딸기 장막을 깔아 내려오는 공을 한 번 튕겨냅니다.		Lays a strawberry curtain that bounces a falling ball once.	铺开一道草莓帘幕，将下落的球弹回一次。	イチゴの幕を敷き、落ちてくるボールを一度跳ね返します。	Despliega una cortina de fresa que rebota una vez la bola que cae.
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	item.horn_strawberry.skill.eat.name	딸기먹기		Eat Strawberry	吃草莓	イチゴを食べる	Comer fresa
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	item.horn_strawberry.skill.eat.desc	딸기를 먹어 패들을 키우고 꼭지를 세 갈래로 발사합니다.		Eats a strawberry to enlarge the paddle and fires its stem in three directions.	吃下草莓使球拍变大，并将草莓蒂朝三个方向发射。	イチゴを食べてパドルを大きくし、ヘタを三方向に発射します。	Come una fresa para agrandar la pala y dispara el tallo en tres direcciones.
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	item.horn_strawberry.skill.bomb.name	딸기폭탄		Strawberry Bomb	草莓炸弹	イチゴ爆弾	Bomba de fresa
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	item.horn_strawberry.skill.bomb.desc	폭탄 30개를 흩뿌리고 페인트 안의 보스를 느리게 합니다.		Scatters 30 bombs and slows the boss inside the paint zone.	撒出30颗炸弹，并使禁区内的首领减速。	爆弾を30個ばらまき、ペイント内のボスを遅くします。	Esparce 30 bombas y ralentiza al jefe dentro de la zona pintada.
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	hud.pickup.active_use_hint	%d번 키로 사용	%d	Use with key %d	按 %d 键使用	%d キーで使用	Usar con la tecla %d
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	hud.scroll_button.to_plaza	광장으로		To Plaza	前往广场	広場へ	Ir a la plaza
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	charinfo.stat.body_size	몸집 크기		Body Size	体型	体サイズ	Tamaño corporal
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	charinfo.stat.dash_recovery_time	대시 후딜 시간		Dash Recovery	冲刺后摇	ダッシュ後隙時間	Recuperación del dash
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	charinfo.stat.dash_recharge	대시 재충전		Dash Recharge	冲刺充能	ダッシュ再充填	Recarga del dash
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	charinfo.stat.item_recharge	아이템 재충전		Item Recharge	道具充能	アイテム再充填	Recarga de objeto
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	charinfo.stat.none_to_show	표시할 능력치 없음		No stats to show	无可显示的属性	表示する能力値なし	No hay estadísticas que mostrar
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	charinfo.section.player_stats	플레이어 능력치		Player Stats	玩家属性	プレイヤー能力値	Estadísticas del jugador
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	charinfo.section.lingpet_stats	링펫 능력치		Lingpet Stats	灵宠属性	リンペット能力値	Estadísticas del Lingpet
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	charinfo.lingpet.state.egg	알		Egg	蛋	卵	Huevo
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	charinfo.lingpet.hatch_progress	부화 진행		Hatch Progress	孵化进度	孵化進行	Progreso de eclosión
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	charinfo.character_type.viper	바이퍼		Viper	维珀	ヴァイパー	Viper
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	charinfo.character_type.commando	코만도		Commando	突击兵	コマンド	Comando
True	Misc surfaces: perk overlay, weapon names, stage landing, horn strawberry, pickup, scroll button, char-info labels	charinfo.character_type.smasher	스매셔		Smasher	重击手	スマッシャー	Smasher
True	Plaza dynamic messages: bank + shop + gacha	plaza.msg.bank.no_ap	열쇠가 부족합니다.		Not enough Keys.	钥匙不足。	鍵が足りません。	No tienes suficientes Llaves.
True	Plaza dynamic messages: bank + shop + gacha	plaza.msg.bank.no_plaza_gold	맡길 골드가 없습니다.		No Gold to deposit.	没有可存入的金币。	預けるゴールドがありません。	No hay Oro para depositar.
True	Plaza dynamic messages: bank + shop + gacha	plaza.msg.bank.no_bank_deposit	찾거나 정산할 예금이 없습니다.		No deposit to withdraw or settle.	没有可取出或结算的存款。	引き出すか精算する預金がありません。	No hay depósito para retirar ni liquidar.
True	Plaza dynamic messages: bank + shop + gacha	plaza.msg.bank.interest_already_claimed	이번 스테이지 이자는 이미 정산했습니다.		You already settled this stage's interest.	本关卡的利息已经结算过了。	今ステージの利息はすでに精算済みです。	Ya liquidaste el interés de esta fase.
True	Plaza dynamic messages: bank + shop + gacha	plaza.msg.bank.default_blocked	지금은 처리할 수 없습니다.		Can't process that right now.	目前无法处理。	今は処理できません。	No se puede procesar ahora.
True	Plaza dynamic messages: bank + shop + gacha	plaza.msg.bank.deposit	%dG를 예금했습니다.	%d	Deposited %dG.	已存入 %dG。	%dGを預けました。	Depositaste %dG.
True	Plaza dynamic messages: bank + shop + gacha	plaza.msg.bank.withdraw	%dG를 출금했습니다.	%d	Withdrew %dG.	已取出 %dG。	%dGを引き出しました。	Retiraste %dG.
True	Plaza dynamic messages: bank + shop + gacha	plaza.msg.bank.interest	이자 %dG를 받았습니다.	%d	Received %dG interest.	获得了 %dG 利息。	利息%dGを受け取りました。	Recibiste %dG de interés.
True	Plaza dynamic messages: bank + shop + gacha	plaza.msg.bank.processed	처리했습니다.		Done.	已处理。	処理しました。	Hecho.
True	Plaza dynamic messages: bank + shop + gacha	plaza.msg.shop.no_ap	열쇠가 부족합니다.		Not enough Keys.	钥匙不足。	鍵が足りません。	No tienes suficientes Llaves.
True	Plaza dynamic messages: bank + shop + gacha	plaza.msg.shop.not_enough_gold	골드가 부족합니다.		Not enough Gold.	金币不足。	ゴールドが足りません。	No tienes suficiente Oro.
True	Plaza dynamic messages: bank + shop + gacha	plaza.msg.shop.active_slots_full	액티브 슬롯이 가득 찼습니다.		Active slots are full.	主动技能槽已满。	アクティブスロットが満杯です。	Las ranuras activas están llenas.
True	Plaza dynamic messages: bank + shop + gacha	plaza.msg.shop.no_active_item	판매할 액티브 아이템이 없습니다.		No Active item to sell.	没有可出售的主动物品。	売却するアクティブアイテムがありません。	No hay objeto Activo para vender.
True	Plaza dynamic messages: bank + shop + gacha	plaza.msg.shop.no_passive_item	판매할 패시브 아이템이 없습니다.		No Passive item to sell.	没有可出售的被动物品。	売却するパッシブアイテムがありません。	No hay objeto Pasivo para vender.
True	Plaza dynamic messages: bank + shop + gacha	plaza.msg.shop.inventory_full	인벤토리가 가득 찼습니다.		Inventory is full.	背包已满。	インベントリが満杯です。	El inventario está lleno.
True	Plaza dynamic messages: bank + shop + gacha	plaza.msg.shop.missing_item_bag	아이템 가방을 찾을 수 없습니다.		Can't find the item bag.	找不到物品背包。	アイテムバッグが見つかりません。	No se encuentra la bolsa de objetos.
True	Plaza dynamic messages: bank + shop + gacha	plaza.msg.shop.default_blocked	지금은 거래할 수 없습니다.		Can't trade right now.	目前无法交易。	今は取引できません。	No se puede comerciar ahora.
True	Plaza dynamic messages: bank + shop + gacha	plaza.msg.shop.purchase	%s을(를) 구매했습니다. %dG	%s, %d	Purchased %s. %dG	购买了 %s。%dG	%sを購入しました。%dG	Compraste %s. %dG
True	Plaza dynamic messages: bank + shop + gacha	plaza.msg.shop.sale	%s을(를) 판매했습니다. +%dG	%s, %d	Sold %s. +%dG	出售了 %s。+%dG	%sを売却しました。+%dG	Vendiste %s. +%dG
True	Plaza dynamic messages: bank + shop + gacha	plaza.msg.shop.traded	거래했습니다.		Trade complete.	交易完成。	取引しました。	Operación completada.
True	Plaza dynamic messages: bank + shop + gacha	plaza.msg.shop.fallback_item	아이템		Item	物品	アイテム	Objeto
True	Plaza dynamic messages: bank + shop + gacha	plaza.msg.gacha.no_ap	열쇠가 부족합니다.		Not enough Keys.	钥匙不足。	鍵が足りません。	No tienes suficientes Llaves.
True	Plaza dynamic messages: bank + shop + gacha	plaza.msg.gacha.not_enough_gold	뽑기 비용이 부족합니다.		Not enough Gold for the draw.	抽取费用不足。	ガチャ費用が足りません。	No hay Oro suficiente para tirar.
True	Plaza dynamic messages: bank + shop + gacha	plaza.msg.gacha.active_slots_full	액티브 슬롯이 가득 찼습니다.		Active slots are full.	主动技能槽已满。	アクティブスロットが満杯です。	Las ranuras activas están llenas.
True	Plaza dynamic messages: bank + shop + gacha	plaza.msg.gacha.missing_item_bag	아이템 가방을 찾을 수 없습니다.		Can't find the item bag.	找不到物品背包。	アイテムバッグが見つかりません。	No se encuentra la bolsa de objetos.
True	Plaza dynamic messages: bank + shop + gacha	plaza.msg.gacha.empty_gacha_pool	뽑기 캡슐이 비어 있습니다.		The gacha capsule is empty.	扭蛋胶囊是空的。	ガチャカプセルが空です。	La cápsula de gacha está vacía.
True	Plaza dynamic messages: bank + shop + gacha	plaza.msg.gacha.default_blocked	지금은 뽑을 수 없습니다.		Can't draw right now.	目前无法抽取。	今は引けません。	No se puede tirar ahora.
True	Plaza dynamic messages: bank + shop + gacha	plaza.msg.gacha.draw	%s을(를) 뽑았습니다. %dG	%s, %d	Drew %s. %dG	抽到了 %s。%dG	%sを引きました。%dG	Obtuviste %s. %dG
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.lingpet.ring_core.no_ap	행동력이 부족합니다.		Not enough Action Points.	行动力不足。	行動力が足りません。	No tienes suficientes Puntos de Acción.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.lingpet.ring_core.not_enough_gold	링코어 강화 비용이 부족합니다.		Not enough Gold to upgrade the Ring Core.	升级环核的金币不足。	リングコアの強化に必要なゴールドが足りません。	No tienes suficiente oro para mejorar el Núcleo de anillo.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.lingpet.ring_core.missing_runtime	링코어 장부를 찾을 수 없습니다.		Ring Core ledger not found.	找不到环核账本。	リングコアの帳簿が見つかりません。	No se encontró el registro del Núcleo de anillo.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.lingpet.ring_core.max_tier	링코어가 이미 최대 단계입니다.		The Ring Core is already at the maximum tier.	环核已达到最高阶。	リングコアはすでに最大段階です。	El Núcleo de anillo ya está en el nivel máximo.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.lingpet.ring_core.missing_price	링코어 가격표가 비어 있습니다.		The Ring Core price list is empty.	环核价目表为空。	リングコアの価格表が空です。	La lista de precios del Núcleo de anillo está vacía.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.lingpet.ring_core.upgrade_failed	링코어 강화에 실패했습니다.		Ring Core upgrade failed.	环核升级失败。	リングコアの強化に失敗しました。	La mejora del Núcleo de anillo falló.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.lingpet.ring_core.unavailable	지금은 링코어를 강화할 수 없습니다.		You can't upgrade the Ring Core right now.	现在无法升级环核。	今はリングコアを強化できません。	No puedes mejorar el Núcleo de anillo ahora mismo.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.lingpet.ring_core.success	%s 링코어가 친밀도 Lv.%d까지 열렸습니다. -%dG	%s, %d, %dG	%s Ring Core unlocked up to Affinity Lv.%d. -%dG	%s 环核已解锁至亲密度 Lv.%d。-%dG	%s リングコアを親密度 Lv.%d まで解放しました。-%dG	%s Núcleo de anillo desbloqueado hasta Afinidad Lv.%d. -%dG
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.lingpet.egg.no_ap	열쇠가 부족합니다.		Not enough Keys.	钥匙不足。	鍵が足りません。	No tienes suficientes llaves.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.lingpet.egg.not_enough_gold	알 뽑기 비용이 부족합니다.		Not enough Gold to draw an egg.	抽蛋的金币不足。	卵を引くゴールドが足りません。	No tienes suficiente oro para sacar un huevo.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.lingpet.egg.already_active	이미 깨어날 알이 기다리고 있습니다.		An egg is already waiting to hatch.	已经有一颗蛋在等待孵化。	すでに孵化を待つ卵があります。	Ya hay un huevo esperando a eclosionar.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.lingpet.egg.no_candidates	지금 뽑을 수 있는 새 링펫 알이 없습니다.		There are no new Lingpet eggs to draw right now.	目前没有可以抽取的新 Lingpet 蛋。	今引ける新しい Lingpet の卵はありません。	No hay huevos de Lingpet nuevos para sacar ahora mismo.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.lingpet.egg.missing_runtime	링펫 장치를 찾을 수 없습니다.		Lingpet device not found.	找不到 Lingpet 装置。	Lingpet の装置が見つかりません。	No se encontró el dispositivo de Lingpet.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.lingpet.egg.manage_stub	링펫 관리는 다음 단계에서 열립니다.		Lingpet management will open in a later milestone.	Lingpet 管理将在后续阶段开放。	Lingpet 管理は次の段階で開放されます。	La gestión de Lingpet se abrirá en una fase posterior.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.lingpet.egg.unavailable	지금은 알을 뽑을 수 없습니다.		You can't draw an egg right now.	现在无法抽蛋。	今は卵を引けません。	No puedes sacar un huevo ahora mismo.
True	Plaza dynamic messages: lingpet-store + blacksmith + academy + tavern + ledger defaults + inline failures	plaza.msg.lingpet.egg.success	공명 알이 전투에 나타났습니다. -%dG	%dG	A Resonance Egg has appeared in battle. -%dG	共鸣蛋出现在战斗中。-%dG	共鳴の卵が戦闘に現れました。-%dG	Un Huevo de Resonancia apareció en la batalla. -%dG
